,context,question,answers,id,rougel,hallucination,generated_answer,is_substring,gpt_hallucination,prompt,context_hash,split
457,"(CNN) -- Radical Islamic websites Wednesday posted an Arab Spring audio message purportedly recorded by Osama bin Laden shortly before he was killed. 

The recording, which is more than 12 minutes long and was released by al Qaeda's media arm, As-Sahab, lists the speaker as bin Laden and calls him ""the martyr of Islam."" 

The audio begins with a prayer and remarks reportedly made by bin Laden about anti-government protests and uprisings earlier this year in several African and Middle East countries. 

CNN, which translated the audio, could not confirm its authenticity. 

The Islamic date with the audio indicates it was recorded between April 4 and May 3. 

Its posting came one day before U.S. President Barack Obama was to deliver a speech highlighting his administration's revised policies toward the Arab region in the wake of the Arab Spring protests. 

Read more about Obama's highly anticipated address 

Just last week, a U.S. official told CNN a message with similar topics was seized at bin Laden's Pakistan compound during the May 2 raid by U.S. commandos. 

The official, who spoke on the condition of anonymity because of the classified nature of the information, has not yet compared the recordings. 

The audio on the websites calls for solidarity among Muslims. 

""My Muslim Umma (nation), we are monitoring with you this great historic event, and we join you with your joy and delight, so congratulations on your victories, and may God have mercy on your martyrs. May He cure your injured and grant the release of your prisoners.""  Q: What was posted online? A: an audio message purportedly recorded by Osama bin Laden. Q: When did he record the message? A: shortly before he was killed. Q: Who posted it? A: Radical Islamic websites. Q: When? A: Wednesday. Q: Is the recording in English? A: no. Q: Did anyone try translating it? A: CNN did. Q: How does the recording start? A: with a prayer. Q: How long is it? A: more than 12 minutes. Q: Is there a marker on the recording indicating the date? A: yes. Q: What date was it found to be? A: between April 4 and May 3. Q: What else does the message speak of? A: remarks about anti-government protests and uprisings.",Was bin Laden the only speaker?,"['yes', 'yes', 'yes', 'yes']",3zpbjo59kp12f69s84pzapoi14bhdo_11,0.0,1.0,"no, not explicitly, but it refers to him as &quot;the martyr of Islam.&quot;",False,Yes,"You will be provided with a passage followed by a series of questions and answers based on the passage. Please review the passage carefully and remember its details. Respond in the same style as the previous answers for the final question. Ensure that your answer is strictly based on the information provided in the passage. Provide the shortest possible full correct answer, containing only the essential information directly related to the question. Do not provide any additional comments, explanations, or introductory clauses. 
 Context: {} Q: {} A:",-5864111219000265998,train
463,"The 2008 Summer Olympics torch relay was run from March 24 until August 8, 2008, prior to the 2008 Summer Olympics, with the theme of ""one world, one dream"". Plans for the relay were announced on April 26, 2007, in Beijing, China. The relay, also called by the organizers as the ""Journey of Harmony"", lasted 129 days and carried the torch 137,000 km (85,000 mi) – the longest distance of any Olympic torch relay since the tradition was started ahead of the 1936 Summer Olympics. 

After being lit at the birthplace of the Olympic Games in Olympia, Greece on March 24, the torch traveled to the Panathinaiko Stadium in Athens, and then to Beijing, arriving on March 31. From Beijing, the torch was following a route passing through six continents. The torch has visited cities along the Silk Road, symbolizing ancient links between China and the rest of the world. The relay also included an ascent with the flame to the top of Mount Everest on the border of Nepal and Tibet, China from the Chinese side, which was closed specially for the event. Q: What is the topic? A: The 2008 Summer Olympics torch relay. Q: When did it occur? A: March 24 until August 8, 2008. Q: What was the theme A: ""one world, one dream"". Q: What was the length of the race? A: 137,000 km. Q: Was it larger than previous ones? A: No. Q: Where did the race begin? A: Olympia, Greece. Q: Is there anything notable about that place? A: birthplace of Olympic Games. Q: Where did they go after? A: Athens. Q: How many days was the race? A: seven. Q: Did they visit any notable landmarks? A: Panathinaiko Stadium. Q: And did they climb any mountains? A: unknown.",Did they visit any ancient Chinese sites?,"['Silk Road', 'yes', 'Yes', 'yes']",3yw4xosqkqldsxz0sac3s2cz64l1u8_11,0.0,1.0,No.,False,Yes.,"You will be provided with a passage followed by a series of questions and answers based on the passage. Please review the passage carefully and remember its details. Respond in the same style as the previous answers for the final question. Ensure that your answer is strictly based on the information provided in the passage. Provide the shortest possible full correct answer, containing only the essential information directly related to the question. Do not provide any additional comments, explanations, or introductory clauses. 
 Context: {} Q: {} A:",-780520900344761787,test
464,"CHAPTER XXIV 

A NEW ARRIVAL 

After the disappearance of Jarley Bangs the Rover boys and their chums continued their trip on horseback. 

""Let's move over the hill in the direction of the Bimbel ranch,"" suggested Spouter. ""I'd like to get a bird's-eye view of that outfit."" 

""Perhaps we had better not go too close,"" advised Fred. ""Bimbel may be getting out a shotgun for us."" 

""I guess it isn't as bad as all that, Fred. Those things might have happened years ago when the country was more sparsely settled and when there were more bad men around. I don't take much stock in what Bangs said. Probably he and Bimbel have quarreled. He struck me as being a man who could get into a dispute very easily."" 

""Oh, I was only fooling,"" answered Fred. ""I wouldn't be afraid to ride right up to his door. That is, in the daytime. Of course, if we did it at night he might become suspicious."" 

""Say, do you fellows know that it's five minutes to twelve?"" questioned Andy, after consulting his watch. ""I move that we keep our eyes open for some place where we can take it easy and have lunch."" 

""And I second the commotion,"" returned his brother, joking in a way their father had made familiar to them. 

The boys rode on for half an hour longer, and then reached the top of the hill they were ascending. Here they could look a long distance in all directions. 

""Some view, I'll say,"" declared Jack, as he surveyed the panorama. ""What a picture for an artist to paint!"" and he pointed to the majestic mountains to the westward.  Q: Who thought they shouldn't get too close to the Bimbel ranch? A: Fred. Q: What was he worried about? A: that he may be getting out a shotgun. Q: What time was it? A: five minutes to twelve. Q: What did Andy want them to watch for? A: a place to take it easy and have lunch.",Who agreed with him?,"['his brother', 'his brother', 'his brother', 'his brother']",3vfjci1k4zzigkxm6z21uetl12ogrn_4,0.0,1.0,Dan.,False,Yes,"You will be provided with a passage followed by a series of questions and answers based on the passage. Please review the passage carefully and remember its details. Respond in the same style as the previous answers for the final question. Ensure that your answer is strictly based on the information provided in the passage. Provide the shortest possible full correct answer, containing only the essential information directly related to the question. Do not provide any additional comments, explanations, or introductory clauses. 
 Context: {} Q: {} A:",2130470668918845960,train
468,"North Dakota (; locally ) is a state in the midwestern and northern regions of the United States. It is the 19th most extensive, but the 4th least populous, and the 4th most sparsely populated of the 50 U.S. states. North Dakota was admitted as the 39th state to the Union on November 2, 1889. The state capital is Bismarck, and the largest city is Fargo. 

North Dakota weathered the Great Recession of the early 21st century with a boom in natural resources, particularly a boom in oil extraction from the Bakken formation, which lies beneath the northwestern part of the state. The development drove strong job and population growth, and low unemployment. However, falling oil prices have put pressure on state finances, leading to questions about the lack of diversity in the North Dakota economy and its vulnerability to commodity price swings. 

North Dakota is in the U.S. region known as the Great Plains. The state shares the Red River of the North with Minnesota to the east. South Dakota is to the south, Montana is to the west, and the Canadian provinces of Saskatchewan and Manitoba are to the north. North Dakota is situated near the middle of North America with a stone marker in Rugby, North Dakota marking the ""Geographic Center of the North American Continent"". With an area of , North Dakota is the 19th largest state. Q: What region is this state in? A: midwestern. Q: What river does it have? A: Red River. Q: What state is below it? A: South Dakota. Q: What country is to the north? A: Canada. Q: And what provinces? A: Saskatchewan and Manitoba. Q: What American region is North Dakota in? A: middle of North America. Q: How does it rank in terms of size? A: 19. Q: What about in terms of population? A: 4th most sparsely populated. Q: What is the capital city? A: Bismarck. Q: Is this the biggest city? A: Fargo. Q: When did North Dakota become a state in the Union? A: 1889. Q: What number state was it to be added? A: 39th.",Did the state suffer in natural resources in the recession?,"['No', 'No', 'No', 'no']",3s3amizx3u5byyycmcbyzyr2o92dc1_12,0.0,1.0,Boom.,False,Yes,"You will be provided with a passage followed by a series of questions and answers based on the passage. Please review the passage carefully and remember its details. Respond in the same style as the previous answers for the final question. Ensure that your answer is strictly based on the information provided in the passage. Provide the shortest possible full correct answer, containing only the essential information directly related to the question. Do not provide any additional comments, explanations, or introductory clauses. 
 Context: {} Q: {} A:",4668587800032423016,train
472,"Lublin Voivodeship, or Lublin Province (in Polish, ""województwo lubelskie"" ), is a voivodeship, or province, located in southeastern Poland. It was created on January 1, 1999, out of the former Lublin, Chełm, Zamość, Biała Podlaska and (partially) Tarnobrzeg and Siedlce Voivodeships, pursuant to Polish local government reforms adopted in 1998. The province is named after its largest city and regional capital, Lublin, and its territory is made of four historical lands: the western part of the voivodeship, with Lublin itself, belongs to Lesser Poland, the eastern part of Lublin Area belongs to Red Ruthenia, and the northeast belongs to Polesie and Podlasie. 

Lublin Voivodeship is bordered by Subcarpathian Voivodeship to the south, Świętokrzyskie Voivodeship to the south-west, Masovian Voivodeship to the west and north, Podlaskie Voivodeship along a short boundary to the north, and Belarus and Ukraine to the east. The province's population as of 2006 was 2,175,251. It covers an area of . 

The that encompasses Lublin, and approximates Lublin Voivodeship as it was before the Partitions of Poland, is known as ""Lubelszczyzna"". Provinces centred on Lublin have existed throughout much of Poland's history; for details see the section below on Previous Lublin Voivodeships. 

The region was, before World War II, one of the world's leading centres of Judaism. Before the middle of the 16th century, there were few Jews in the area, concentrated in Lublin, Kazimierz Dolny, and perhaps Chełm; but the founding of new private towns led to a large movement of Jews into the region to develop trade and services. Since these new towns competed with the existing towns for business, there followed a low-intensity, long-lasting feeling of resentment, with failed attempts to limit the Jewish immigration. The Jews tended to settle mostly in the cities and towns, with only individual families setting up businesses in the rural regions; this urban/rural division became another factor feeding resentment of the newly arrived economic competitors. By the middle of the 18th century, Jews were a significant part of the population in Kraśnik, Lubartów and Łęczna. Q: What is the location that is the focus of the article? A: Lublin Voivodeship. Q: What is on its northern border? A: Podlaskie Voivodeship. Q: What is to its east? A: Belarus and Ukraine.",To its northwest?,"['Masovian Voivodeship', 'Masovian Voivodeship', 'Masovian Voivodeship', 'the northeast belongs to Polesie and Podlasie']",3q5zz9zevofeiit6qudaz07rl34584_3,0.0,1.0,None given.,False,Yes,"You will be provided with a passage followed by a series of questions and answers based on the passage. Please review the passage carefully and remember its details. Respond in the same style as the previous answers for the final question. Ensure that your answer is strictly based on the information provided in the passage. Provide the shortest possible full correct answer, containing only the essential information directly related to the question. Do not provide any additional comments, explanations, or introductory clauses. 
 Context: {} Q: {} A:",-6082443172157038019,train
475,"Buenos Aires ( or ; ) is the capital and most populous city of Argentina. The city is located on the western shore of the estuary of the Río de la Plata, on the South American continent's southeastern coast. ""Buenos aires"" can be translated as ""fair winds"" or ""good airs"", but the first one was the meaning intended by the founders in the 16th century, by the use of the original name ""Real de Nuestra Señora Santa María del Buen Ayre"". The Greater Buenos Aires conurbation, which also includes several Buenos Aires Province districts, constitutes the fourth-most populous metropolitan area in the Americas, with a population of around 17 million. 

The city of Buenos Aires is neither part of Buenos Aires Province nor the Province's capital; rather, it is an autonomous district. In 1880, after decades of political infighting, Buenos Aires was federalized and removed from Buenos Aires Province. The city limits were enlarged to include the towns of Belgrano and Flores; both are now neighborhoods of the city. The 1994 constitutional amendment granted the city autonomy, hence its formal name: Ciudad Autónoma de Buenos Aires (Autonomous City of Buenos Aires). Its citizens first elected a chief of government (i.e. mayor) in 1996; previously, the mayor was directly appointed by the President of the Republic. Q: What does buenos aires mean? A: ""fair winds"" or ""good airs"". Q: does it belong to the provinces? A: No. Q: what was it considered? A: it is an autonomous district. Q: when was it removed from the province? A: 1880.",it is the capial of what?,"['Argentina', 'Argentina', 'Argentina', 'Argentina']",31lm9edvols7sovvly6ni7grs05nj5_4,0.0,1.0,it is not the capital of Buenos Aires province.,False,Yes.,"You will be provided with a passage followed by a series of questions and answers based on the passage. Please review the passage carefully and remember its details. Respond in the same style as the previous answers for the final question. Ensure that your answer is strictly based on the information provided in the passage. Provide the shortest possible full correct answer, containing only the essential information directly related to the question. Do not provide any additional comments, explanations, or introductory clauses. 
 Context: {} Q: {} A:",3315732455647549445,train
484,"CHAPTER XXII 

AFTER THE RUNAWAYS 

""Why, Nat, what do you mean?"" demanded Dave. 

""I mean just what I say!"" declared the money-lender's son. ""This is a frame-up, nothing more! I understand it all now, although I didn't at first."" 

""What do you mean by 'a frame-up,' Poole?"" demanded Doctor Clay. 

""I mean that they took this magazine and the drawing to the cabin, that is what I mean, Doctor Clay. They found out somehow that my--er--that the wild man was there, and they got up this scheme to make it look as if he had blown up the hotel,--and they did it just to clear their cronies and themselves."" 

""Nat, you know that is not true!"" exclaimed Roger. ""I found the magazine with the drawing on a shelf in the cabin."" 

""Yes, that is what you said, but I don't believe it, Roger Morr. I think you put the magazine there yourself--you or Dave Porter."" 

""We did nothing of the kind,"" cried our hero. 

""I think you did--and I think Jason Sparr will think so, too, when he hears the story. It's a frame-up, just to clear yourselves and your cronies,"" added Nat, with a sneer. 

""Nat, you ought to be----"" began Roger, in high anger, when Dave stopped him. Our hero looked at Doctor Clay. 

""What Roger says is the absolute truth, Doctor Clay,"" said our hero. ""He found that magazine on a shelf in the cabin where the wild man was staying, and that drawing and the wording were on it, just as you see. More than that, we can prove that the wild man was around the old shanty where the dynamite was kept, and that he was seen in Oakdale several times.""  Q: Who is Nat's father? A: the money-lender. Q: What did the doctor demand to know? A: he wanted to know what was meant by frame-up. Q: Where did Roger find the drawing? A: on a shelf in the cabin."". Q: What was the wild scheme? A: they took this magazine and the drawing.",What kind of house was the magazine found in?,"['cabin', 'a cabin', 'Cabin', 'cabin']",3ns0a6kxc48ribjdggweghvk99agzy_4,0.0,1.0,an old shanty.,False,Yes.,"You will be provided with a passage followed by a series of questions and answers based on the passage. Please review the passage carefully and remember its details. Respond in the same style as the previous answers for the final question. Ensure that your answer is strictly based on the information provided in the passage. Provide the shortest possible full correct answer, containing only the essential information directly related to the question. Do not provide any additional comments, explanations, or introductory clauses. 
 Context: {} Q: {} A:",-1893917244787607436,train
485,"Diwali is perhaps the most well--known of the Hindu festivals. It is celebrated by Hindus in India and abroad. It is often called the Festival of Lights. For Hindus, Diwli is very important and it is also very exciting time for them. Normally , this holiday is celebrated in October or November and it falls on a different date each year. This year , it will be celebrated on October23. Diwali is usually celebrated for 5 days. To prepare for Diwali, Hindus spend several weeks cleaning their homes and preparing special food in order to welcome Laskhmi, the goodness of wealth into their lives. They will open the windows of their homes during this time to make sure that she can enter their home. One of other traditions of Dawali is to light up oil lamp in the homes. The oil lamps are used to make the goddess of wealth enter the homes. Hindus believe that she will not enter a home that is not lit up. During Diwali, the children in India do not have to go to school. They share gifts with one another and prepare special holiday meals to celebrate this event. Fireworks are also a big part of the Diwali festival. They are used to scare away bad spirits. Q: How do people get ready for Diwali? A: Cleaning their homes and preparing special food. Q: What is Diwali? A: the Festival of Lights. Q: Where is it celebrated? A: in India. Q: By who? A: by Hindus. Q: For how long? A: 5 days. Q: How long do they take to get ready? A: several weeks. Q: Who are they expecting? A: Laskhmi. Q: Who is she? A: the goddess of wealth. Q: How will she get in? A: the windows. Q: What happens if they house is dark? A: she will not enter. Q: What do they use for light? A: oil lamps. Q: Is the festival always the same day? A: No.",The same month?,"['No', 'no', 'No', 'no']",3auqqel7u5tdyn3i1hi8ajv8ef30vz_12,0.0,1.0,yes.,False,Yes.,"You will be provided with a passage followed by a series of questions and answers based on the passage. Please review the passage carefully and remember its details. Respond in the same style as the previous answers for the final question. Ensure that your answer is strictly based on the information provided in the passage. Provide the shortest possible full correct answer, containing only the essential information directly related to the question. Do not provide any additional comments, explanations, or introductory clauses. 
 Context: {} Q: {} A:",-4336038939617588366,train
490,"Alan worked in an office in the city. He worked very hard and really looked forward to his holiday. He usually went to the seaside, but one year he saw an ad. in a newspaper ""Enjoy country life. Spend a few weeks at William Farm. Good food, fresh air, horse riding, walking, fishing..."" 

""This sounds like a good idea."" he thought, I'll spend a month at William Farm. I'll go horse riding, walking and fishing. It'll be different from the seaside."" Four days later, he returned home. 

""What's wrong with William Farm?"" his friend Jack asked him, ""Didn't you enjoy country life?"" 

""Country life was fine,"" Alan said, ""But there was another problem."" 

""Oh, what problem?"" 

""Well, the first day I was there, a sheep died, and we had roast mutton for dinner."" 

""Fresh meat is the best."" 

""I know, but on the second day a cow died, and we had roast beef for dinner."" 

""Lucky you!"" 

""You don't understand,"" Alan said, ""On the third day a pig died and we had roast pork for dinner."" 

""A different roast every day."" Jack said. 

""Let me finish."" Alan said, ""On the fourth day a farmer died and I didn't want to stay there for dinner."" Q: Where does Alan decide to go? A: William Farm.",How many activities is there to do there?,"['Three', 'three', 'Five', 'Three']",3npfyt4izc42dgjyfy8tjwf92engxn_1,0.0,1.0,Four activities.,False,Yes,"You will be provided with a passage followed by a series of questions and answers based on the passage. Please review the passage carefully and remember its details. Respond in the same style as the previous answers for the final question. Ensure that your answer is strictly based on the information provided in the passage. Provide the shortest possible full correct answer, containing only the essential information directly related to the question. Do not provide any additional comments, explanations, or introductory clauses. 
 Context: {} Q: {} A:",-6422294455505990885,train
6519,"CHAPTER XXXVIII. 

MAKING them pens was a distressid tough job, and so was the saw; and Jim allowed the inscription was going to be the toughest of all. That's the one which the prisoner has to scrabble on the wall. But he had to have it; Tom said he'd GOT to; there warn't no case of a state prisoner not scrabbling his inscription to leave behind, and his coat of arms. 

""Look at Lady Jane Grey,"" he says; ""look at Gilford Dudley; look at old Northumberland! Why, Huck, s'pose it IS considerble trouble?--what you going to do?--how you going to get around it? Jim's GOT to do his inscription and coat of arms. They all do."" 

Jim says: 

""Why, Mars Tom, I hain't got no coat o' arm; I hain't got nuffn but dish yer ole shirt, en you knows I got to keep de journal on dat."" 

""Oh, you don't understand, Jim; a coat of arms is very different."" 

""Well,"" I says, ""Jim's right, anyway, when he says he ain't got no coat of arms, because he hain't."" 

""I reckon I knowed that,"" Tom says, ""but you bet he'll have one before he goes out of this--because he's going out RIGHT, and there ain't going to be no flaws in his record."" 

So whilst me and Jim filed away at the pens on a brickbat apiece, Jim a-making his'n out of the brass and I making mine out of the spoon, Tom set to work to think out the coat of arms. By and by he said he'd struck so many good ones he didn't hardly know which to take, but there was one which he reckoned he'd decide on. He says:  Q: what job was hard? A: Making pens. Q: what was harder? A: The inscription. Q: who got to scrabble the wall A: The prisoner. Q: who has to do his coat of arms? A: Tom. Q: does he think he has one? A: No.",do they all have one?,"['No', 'no', 'Yes', 'yes']",3tu5zicbrd13b4c4am1dxb2ihy18qs_5,1.0,0.0,Yes.,True,,"You will be provided with a passage followed by a series of questions and answers based on the passage. Please review the passage carefully and remember its details. Respond in the same style as the previous answers for the final question. Ensure that your answer is strictly based on the information provided in the passage. Provide the shortest possible full correct answer, containing only the essential information directly related to the question. Do not provide any additional comments, explanations, or introductory clauses. 
 Context: {} Q: {} A:",2133836784195874300,test
2269,"CHAPTER VI 

About five o'clock that afternoon Ephraim was sitting in his shirt-sleeves by the window of his room, and Cynthia was reading aloud to him an article (about the war, of course) from a Washington paper, which his friend, Mr. Beard, had sent him. There was a knock at the door, and Cynthia opened it to discover a colored hall-boy with a roll in his hand. 

""Mistah Ephum Prescott?"" he said. 

""Yes,"" answered Ephraim, ""that's me."" 

Cynthia shut the door and gave him the roll, but Ephraim took it as though he were afraid of its contents. 

""Guess it's some of them war records from Amasy,"" he said. 

""Oh, Cousin Eph,"" exclaimed Cynthia, excitedly, ""why don't you open it? If you don't I will."" 

""Guess you'd better, Cynthy,"" and he held it out to her with a trembling hand. 

Cynthia did open it, and drew out a large document with seals and printing and signatures. 

""Cousin Eph,"" she cried, holding it under his nose, ""Cousin Eph, you're postmaster of Brampton!"" 

Ephraim looked at the paper, but his eyes swam, and he could only make out a dancing, bronze seal. 

""I want to know!"" he exclaimed. ""Fetch Jethro."" 

But Cynthia had already flown on that errand. Curiously enough, she ran into Jethro in the hall immediately outside of Ephraim's door. Ephraim got to his feet; it was very difficult for him to realize that his troubles were ended, that he was to earn his living at last. He looked at Jethro, and his eyes filled with tears. ""I guess I can't thank you as I'd ought to, Jethro,"" he said, ""leastways, not now.""  Q: What did Cynthia;s name get shortened to? A: Cynthy. Q: who did she go to find? A: Jethro. Q: did she walk sedately? A: no. Q: Did Ephram have a jacket on? A: no. Q: what time was it? A: About five o'clock. Q: and where was he sat? A: by the window. Q: who waws reading? A: Cynthia. Q: silently? A: no. Q: was it a book? A: no. Q: what was it? A: an article. Q: from what sort of publication? A: a Washington paper. Q: was it about the economy? A: no. Q: what about? A: the war. Q: how did they come to have it? A: Mr. Beard sent it. Q: what happened? A: There was a knock at the door. Q: who opened it? A: Cynthia.",who or what was there?,"['a colored hall-boy', 'a colored hall-boy', 'a colored hall-boy', 'a large document']",3ftyuglfsulqzdpx72oqlslswtcd5r_16,1.0,0.0,a colored hall-boy.,True,,"You will be provided with a passage followed by a series of questions and answers based on the passage. Please review the passage carefully and remember its details. Respond in the same style as the previous answers for the final question. Ensure that your answer is strictly based on the information provided in the passage. Provide the shortest possible full correct answer, containing only the essential information directly related to the question. Do not provide any additional comments, explanations, or introductory clauses. 
 Context: {} Q: {} A:",-1061491053646834906,train
1402,"Time was running out, and Mark Dickinson wasn't sure whether he'd get to see his dying 2-year-old grandson one last time. A long line at Los Angeles International Airport's security checkpoint had kept him from getting to his gate on time. 

His grandson Caden would be taken off life support in a matter of hours in Denver, Colorado, with or without his grandfather's presence, according to CNN affiliate KABC. 

""I was kind of panicking because I was running late, and I really thought I wasn't going to make the flight,"" Dickinson told KABC. 

That's when a pilot from Southwest Airlines stepped up and held the flight at the gate until Dickinson arrived. The pilot was standing by the air bridge waiting for him when Dickinson arrived in socks, so rushed that he just grabbed his shoes at security and ran through the terminal. 

""I told him, 'Thank you so much. I can't tell you how much I appreciated that.' And he said, 'No problem. They can't leave without me anyway,'""Dickinson told KABC. 

Authorities say Dickinson's grandson, Caden Rodgers, suffered a head injury after his mother's boyfriend threw him across the room. The boyfriend reportedly told police he was drunk and high on marijuana at the time. The child later died and the boyfriend has been charged with first-degree murder, according to the Aurora Sentinel. 

Thanks to the pilot, Dickinson made it to Colorado in time to say goodbye to his grandson. Most airlines would punish any staff member who holds up a flight, according to consumer advocate Christopher Elliott, who broke the story of the sympathetic pilot on his blog. However, a Southwest spokeswoman said the pilot's actions were praiseworthy. 

""You can't hold a plane for every late customer, but I think we would all agree that these were extenuating circumstances and the pilot absolutely made the right decision,"" Southwest spokeswoman Marilee McInnis said. ""I don't think you could ask for a better example of great service for our customers."" Q: Who is Dickinson's grandson? A: Caden. Q: What type of injury did he suffer? A: head injury. Q: Did someone hurt him? A: yes. Q: Who? A: his mother's boyfriend. Q: What did the dude do to the little boy? A: he threw him. Q: Was the boyfriend inebriated at the time? A: yes. Q: Was he doing the cocaine or the meth? A: no.",What drug was he high on?,"['marijuana', 'marijuana', 'Marijuana', 'marijuana']",36v4q8r5zk0iwte84nbw2t3d1xrmqj_7,1.0,0.0,marijuana.,True,,"You will be provided with a passage followed by a series of questions and answers based on the passage. Please review the passage carefully and remember its details. Respond in the same style as the previous answers for the final question. Ensure that your answer is strictly based on the information provided in the passage. Provide the shortest possible full correct answer, containing only the essential information directly related to the question. Do not provide any additional comments, explanations, or introductory clauses. 
 Context: {} Q: {} A:",-4132265695842386998,test
4378,"Jenny loves singing. But her baby sister is crying so loud that Jenny can't hear herself, so she was angry! Her Mom said she could try to play with her sister, but that only made her baby sister cry louder. Jenny tried to ask the baby to stop crying, but that didn't work. Jenny was getting tired, but she had an idea. She would give her baby sister one of her toy horses. The baby loved horses! The baby played with the horse, but then she started crying again. This made Jenny sad. She wanted to sing! Then she had a great idea. She would give the baby a pacifier! This worked. The baby stopped crying and Jenny started singing. Everyone was so happy! Q: Who loves singing? A: Jenny. Q: How is she feeling? A: Angry. Q: Why? A: Because her baby sister is crying so loud that Jenny can't hear herself. Q: How did she ultimately solve that? A: She gave the baby a pacifier. Q: What did she try just before that? A: She gave her a toy horse. Q: And what was the first thing she tried? A: She played with her. Q: What happened when the baby stopped crying? A: She started singing. Q: How did everyone feel then? A: Happy.",Does Jenny have a sister?,"['Yes.', 'yes', 'yes', 'yes']",3zwfc4w1uu7c2k1rvfwjctt9zjxfrn_8,1.0,0.0,Yes.,True,,"You will be provided with a passage followed by a series of questions and answers based on the passage. Please review the passage carefully and remember its details. Respond in the same style as the previous answers for the final question. Ensure that your answer is strictly based on the information provided in the passage. Provide the shortest possible full correct answer, containing only the essential information directly related to the question. Do not provide any additional comments, explanations, or introductory clauses. 
 Context: {} Q: {} A:",7105563672532532541,train
812,"A team of British surgeons has carried out Gaza's first organ transplants for a long-term plan to train local medical staff to perform the operations. 

Two patients underwent kidney transplants at the Shifa, Gaza's biggest public hospital. The operations were conducted a fortnight ago by a volunteer medical team from the Royal Liverpool hospital. 

Ziad Matouk, 42, was born with one kidney and was diagnosed with renal failure several years ago. Matouk, whose wife donated one of her kidneys, hopes to return to his job within six months. The couple had sought a transplant in Cairo, but were rejected as unsuitable at a state hospital and could not afford the fee at a private hospital. ""We were desperate,"" said Matouk. 

The UK-Gaza link-up began about a year ago after Abdelkader Hammad, a doctor at the Royal Liverpool hospital, was contacted by an anaesthetist at the Shifa, who outlined the difficulties the Gaza hospital was facing with dialysis . The Shifa is forced to rely on generators because of power cuts; spare parts for its ageing dialysis machines have been difficult to import; and supplies of consumables are often scarce. After an exploratory trip last April, Hammad---whose family is Palestinian---and three colleagues from Liverpool arrived in Gaza via Egypt last month, bringing specialist equipment. Two patients were selected for surgery. The first, Mohammed Duhair, 42, received a kidney donated by his younger brother in a six-hour operation. Two days later, Matouk received a transplant after his wife, Nadia, 36, was found to be a good match. The surgeon was carried out by the British team, assisted by doctors and nurses from the Shifa. ""We are very satisfied with the results,"" said Sobbi Skaik, head of surgery at the Gaza hospital. 

Skaik hopes that Gaza medical teams will eventually carry out kidney transplants independently, and that other organ transplants may follow. The Shifa is working with the Gaza ministry of health on a plan to train its doctors, surgeons, nursing staff and laboratory technicians in transplant surgery at the Royal Liverpool. ""Funding is a problem,"" said Hammad. ""In the meantime we'll go back as volunteers to Gaza for the next couple of years to do more transplants."" The Liverpool team's next visit is scheduled for May. Q: What is Adbelkader Hammad's job? A: doctor. Q: Where does he work? A: at the Royal Liverpool hospital. Q: Where is his family from? A: Palestine. Q: What did he and other doctors do for the first time? A: They carried out Gaza's first organ transplants. Q: On how many people? A: Two. Q: What organs did they transplant? A: kidneys. Q: Were they donated by strangers or family? A: family. Q: What were the names of the patients? A: Mohammed Duhair and Ziad Matouk. Q: How long did Mohammed's surgery take? A: six hours. Q: Was it successful? A: yes. Q: What does Skaik hope? A: that Gaza medical teams do independent kidney transplants, and possibly other organs. Q: What is an issue that complicates this? A: Funding. Q: What will they do in the meantime? A: They will go back as volunteers to Gaza to do more transplants. Q: When will they go next? A: May. Q: When were the operations done? A: a fortnight ago.",How long does Ziad expect to be off from work?,"['less than six months', 'six months', 'within six months', 'six months']",3var3r6g1p10qszov999867i2qqo8t_15,1.0,0.0,six months.,True,,"You will be provided with a passage followed by a series of questions and answers based on the passage. Please review the passage carefully and remember its details. Respond in the same style as the previous answers for the final question. Ensure that your answer is strictly based on the information provided in the passage. Provide the shortest possible full correct answer, containing only the essential information directly related to the question. Do not provide any additional comments, explanations, or introductory clauses. 
 Context: {} Q: {} A:",3939166503011322047,train
2396,"Pain is a distressing feeling often caused by intense or damaging stimuli, such as stubbing a toe, burning a finger, putting alcohol on a cut, and bumping the ""funny bone"". Because it is a complex, subjective phenomenon, defining pain has been a challenge. The International Association for the Study of Pain's widely used definition states: ""Pain is an unpleasant sensory and emotional experience associated with actual or potential tissue damage, or described in terms of such damage."" In medical diagnosis, pain is a symptom. 

Pain is the most common reason for physician consultation in most developed countries. It is a major symptom in many medical conditions, and can interfere with a person's quality of life and general functioning. Psychological factors such as social support, hypnotic suggestion, excitement, or distraction can significantly affect pain's intensity or unpleasantness. In some arguments put forth in physician-assisted suicide or euthanasia debates, pain has been used as an argument to permit terminally ill patients to end their lives.",What type of feeling is caused by pain?,"['a distressing feeling', 'intense or damaging stimuli,', 'distressing', 'distressing']",3tgoyf991xmt1uqyuymn34hwh1euuw_0,1.0,0.0,A distressing feeling.,True,,"You will be provided with a passage followed by a series of questions and answers based on the passage. Please review the passage carefully and remember its details. Respond in the same style as the previous answers for the final question. Ensure that your answer is strictly based on the information provided in the passage. Provide the shortest possible full correct answer, containing only the essential information directly related to the question. Do not provide any additional comments, explanations, or introductory clauses. 
 Context: {} Q: {} A:",4660376399263847043,train
